Id,Weekly_Sales
1_5_2012-11-02,27072.574306944447
1_5_2012-11-09,27100.658649920624
1_5_2012-11-16,26388.64285095241
1_5_2012-11-23,72391.15508994051
1_5_2012-11-30,51389.45544583331
1_5_2012-12-07,44962.84084077376
1_5_2012-12-14,51551.05964732147
1_5_2012-12-21,73263.96082500002
1_5_2012-12-28,33908.958499999964
1_5_2013-01-04,21661.77197738096
1_5_2013-01-11,19512.11885071431
1_5_2013-01-18,19035.160337380956
1_5_2013-01-25,21492.38711333333
1_5_2013-02-01,30393.061692440468
1_5_2013-02-08,33921.348321200414
1_5_2013-02-15,33671.12026192462
1_5_2013-02-22,27276.42701732143
1_5_2013-03-01,27268.6803753869
1_5_2013-03-08,24037.847420178572
1_5_2013-03-15,24623.433395684526
1_5_2013-03-22,27786.247120416665
1_5_2013-03-29,25182.740834642856
1_5_2013-04-05,23432.490079305557
1_5_2013-04-12,18156.918186934527
1_5_2013-04-19,20825.639351507933
1_5_2013-04-26,19041.185910089273
1_5_2013-05-03,18091.920176577372
1_5_2013-05-10,16795.00067110119
1_5_2013-05-17,16614.280061130947
1_5_2013-05-24,17077.665808214282
1_5_2013-05-31,18026.03405175595
1_5_2013-06-07,21660.303027083337
1_5_2013-06-14,20004.052362738083
1_5_2013-06-21,21655.314509523807
1_5_2013-06-28,20543.29621374998
1_5_2013-07-05,19236.066161964285
1_5_2013-07-12,18304.63685443454
1_5_2013-07-19,18148.701869553573
1_5_2013-07-26,16729.62078622024
1_6_2012-11-02,5284.425869821431
1_6_2012-11-09,4427.611156607145
1_6_2012-11-16,3436.8156075
1_6_2012-11-23,19472.431498750004
1_6_2012-11-30,12669.242447499993
1_6_2012-12-07,6935.030000833333
1_6_2012-12-14,11982.433713571429
1_6_2012-12-21,23527.417921369044
1_6_2012-12-28,7013.023517083331
1_6_2013-01-04,2449.573476785714
1_6_2013-01-11,2406.5917991666665
1_6_2013-01-18,2310.3425966666646
1_6_2013-01-25,2482.98258642857
1_6_2013-02-01,4296.857897797622
1_6_2013-02-08,6320.602897599207
1_6_2013-02-15,4816.134606607142
1_6_2013-02-22,4473.688855515873
1_6_2013-03-01,4757.032927202379
1_6_2013-03-08,4592.483038511903
1_6_2013-03-15,4010.7368255753936
1_6_2013-03-22,4678.816296021825
1_6_2013-03-29,4374.3324916369065
1_6_2013-04-05,4123.807692441376
1_6_2013-04-12,4398.162966458334
1_6_2013-04-19,3476.2059913988123
1_6_2013-04-26,4029.712809880956
1_6_2013-05-03,6288.560523363096
1_6_2013-05-10,5065.410339861111
1_6_2013-05-17,4810.88435699405
1_6_2013-05-24,5553.756040357142
1_6_2013-05-31,4965.100688779761
1_6_2013-06-07,3981.2734032341277
1_6_2013-06-14,3658.831278660715
1_6_2013-06-21,4003.3383170535726
1_6_2013-06-28,4405.090155357143
1_6_2013-07-05,3749.3369325396834
1_6_2013-07-12,3678.4872292857144
1_6_2013-07-19,4234.6923946130955
1_6_2013-07-26,3282.4689752976187
1_7_2012-11-02,22101.36898678573
1_7_2012-11-09,23396.78730946429
1_7_2012-11-16,23127.807562083326
1_7_2012-11-23,68637.38673172612
1_7_2012-11-30,52498.87866000002
1_7_2012-12-07,55352.09557833335
1_7_2012-12-14,84487.0606083333
1_7_2012-12-21,151785.456560893
1_7_2012-12-28,35638.696864583326
1_7_2013-01-04,14054.560084166671
1_7_2013-01-11,10943.742370833343
1_7_2013-01-18,11390.800558750001
1_7_2013-01-25,12650.467599166666
1_7_2013-02-01,18120.7925464881
1_7_2013-02-08,20105.64773613097
1_7_2013-02-15,20332.230807499996
1_7_2013-02-22,19375.525637797622
1_7_2013-03-01,18661.63994488094
1_7_2013-03-08,19717.91529172618
1_7_2013-03-15,21547.842645000008
1_7_2013-03-22,17822.423927797612
1_7_2013-03-29,18953.410452440476
1_7_2013-04-05,22503.104350466267
1_7_2013-04-12,21025.923316636916
1_7_2013-04-19,20770.053939255937
1_7_2013-04-26,21436.326061815475
1_7_2013-05-03,20932.38778255954
1_7_2013-05-10,21160.112236458328
1_7_2013-05-17,22369.076607976207
1_7_2013-05-24,30419.980928611105
1_7_2013-05-31,34007.17445153771
1_7_2013-06-07,32257.85295891145
1_7_2013-06-14,28589.255091577397
1_7_2013-06-21,26029.93062166667
1_7_2013-06-28,24431.76170130952
1_7_2013-07-05,23597.519932499996
1_7_2013-07-12,19155.495805535713
1_7_2013-07-19,17741.842060416675
1_7_2013-07-26,17162.338998720235
1_8_2012-11-02,36286.506862976195
1_8_2012-11-09,35095.331420357164
1_8_2012-11-16,34575.34475732139
1_8_2012-11-23,34363.12145166665
1_8_2012-11-30,36067.716462202385
1_8_2012-12-07,36543.19152482142
1_8_2012-12-14,37056.08766517854
1_8_2012-12-21,40542.025538392874
1_8_2012-12-28,34368.27750160711
1_8_2013-01-04,36204.12896916665
1_8_2013-01-11,34725.86224416667
1_8_2013-01-18,34882.156339166664
1_8_2013-01-25,35139.55857714286
1_8_2013-02-01,39660.73884136905
1_8_2013-02-08,37466.07298589286
1_8_2013-02-15,37068.19684892861
1_8_2013-02-22,35847.96584502979
1_8_2013-03-01,37845.463584702375
1_8_2013-03-08,35390.861992708335
1_8_2013-03-15,34613.600444265874
1_8_2013-03-22,33502.3457867262
1_8_2013-03-29,36154.647208988084
1_8_2013-04-05,36490.72183636904
1_8_2013-04-12,34365.71833101189
1_8_2013-04-19,34313.3799262103
1_8_2013-04-26,35082.516284226185
1_8_2013-05-03,37668.09207037877
1_8_2013-05-10,35877.670751577374
1_8_2013-05-17,35805.27482130952
1_8_2013-05-24,36594.0060309524
1_8_2013-05-31,37041.825476448445
1_8_2013-06-07,36794.875128740074
1_8_2013-06-14,35449.5945436607
1_8_2013-06-21,35450.67622839287
1_8_2013-06-28,36707.11563916663
1_8_2013-07-05,37086.91916910712
1_8_2013-07-12,34476.07554211309
1_8_2013-07-19,35294.84859604167
1_8_2013-07-26,34434.046037876986
1_9_2012-11-02,46788.16153375002
1_9_2012-11-09,39548.8776309524
1_9_2012-11-16,32700.594615416638
1_9_2012-11-23,40385.700781011896
1_9_2012-11-30,31534.366281666666
1_9_2012-12-07,27323.60171059523
1_9_2012-12-14,30517.079251607138
1_9_2012-12-21,43156.53208279761
1_9_2012-12-28,27306.2722675
1_9_2013-01-04,17442.85352458332
1_9_2013-01-11,15517.086821666671
1_9_2013-01-18,12775.693882380965
1_9_2013-01-25,13944.17899297619
1_9_2013-02-01,18283.36449560516
1_9_2013-02-08,18422.84175517856
1_9_2013-02-15,20614.17179218254
1_9_2013-02-22,22608.45958444444
1_9_2013-03-01,26959.786156369046
1_9_2013-03-08,27434.12750032739
1_9_2013-03-15,34312.767597784085
1_9_2013-03-22,33146.8535661508
1_9_2013-03-29,39755.92653333337
1_9_2013-04-05,31303.23489371031
1_9_2013-04-12,29400.36671724205
1_9_2013-04-19,26941.276753839295
1_9_2013-04-26,26316.50263494046
1_9_2013-05-03,27608.957410793646
1_9_2013-05-10,25777.52055554564
1_9_2013-05-17,25900.349277678568
1_9_2013-05-24,27996.07766886904
1_9_2013-05-31,30447.405928095235
1_9_2013-06-07,28588.057366190475
1_9_2013-06-14,26276.195369702393
1_9_2013-06-21,25702.366097916667
1_9_2013-06-28,24917.842516855148
1_9_2013-07-05,27227.733751130956
1_9_2013-07-12,20113.532216785712
1_9_2013-07-19,19548.431139999997
1_9_2013-07-26,19969.04705154762
1_10_2012-11-02,30896.580009583366
1_10_2012-11-09,29655.045217916675
1_10_2012-11-16,27786.8217025595
1_10_2012-11-23,32710.497869821407
1_10_2012-11-30,30876.968931130938
1_10_2012-12-07,30281.991483333328
1_10_2012-12-14,29913.0198233631
1_10_2012-12-21,32866.529059940454
1_10_2012-12-28,27261.417782619043
1_10_2013-01-04,26158.005609642867
1_10_2013-01-11,24335.35822440475
1_10_2013-01-18,24307.208914047624
1_10_2013-01-25,25021.385465833348
1_10_2013-02-01,31729.865410416645
1_10_2013-02-08,34045.39241071428
1_10_2013-02-15,34157.41486276783
1_10_2013-02-22,32985.77920553571
1_10_2013-03-01,35791.444251666675
1_10_2013-03-08,32207.872639345227
1_10_2013-03-15,33474.05163074406
1_10_2013-03-22,36020.61826624999
1_10_2013-03-29,39500.13303937498
1_10_2013-04-05,33750.717502341286
1_10_2013-04-12,31565.79533982143
1_10_2013-04-19,31599.78991297619
1_10_2013-04-26,29856.743527440467
1_10_2013-05-03,32116.93372777778
1_10_2013-05-10,29726.845401755945
1_10_2013-05-17,28653.2674265972
1_10_2013-05-24,31163.30474107144
1_10_2013-05-31,33416.79102395834
1_10_2013-06-07,33098.456912648806
1_10_2013-06-14,32286.28019505955
1_10_2013-06-21,31675.564429136917
1_10_2013-06-28,31908.545384345227
1_10_2013-07-05,34036.436660595245
1_10_2013-07-12,30714.703537142843
1_10_2013-07-19,29659.626642727275
1_10_2013-07-26,30195.918787589275
1_11_2012-11-02,25362.40739499999
1_11_2012-11-09,22843.813701666662
1_11_2012-11-16,22727.540922916658
1_11_2012-11-23,30113.725038333338
1_11_2012-11-30,30871.04162065475
1_11_2012-12-07,32446.637284642846
1_11_2012-12-14,29195.084819166677
1_11_2012-12-21,32051.446523749986
1_11_2012-12-28,24235.447751428583
1_11_2013-01-04,25579.601493809525
1_11_2013-01-11,28014.575615416652
1_11_2013-01-18,21607.07536208335
1_11_2013-01-25,19977.79778220239
1_11_2013-02-01,23592.062610714293
1_11_2013-02-08,21911.292419107143
1_11_2013-02-15,21023.17461267857
1_11_2013-02-22,19689.932563392853
1_11_2013-03-01,20867.038367867062
1_11_2013-03-08,20094.986657023815
1_11_2013-03-15,21973.563130416664
1_11_2013-03-22,22708.105046071407
1_11_2013-03-29,23787.71995107142
1_11_2013-04-05,24908.526742946437
1_11_2013-04-12,23073.940099146817
1_11_2013-04-19,21936.75156845238
1_11_2013-04-26,21698.02010483134
1_11_2013-05-03,27488.52309919642
1_11_2013-05-10,25995.259985109125
1_11_2013-05-17,23670.569924732143
1_11_2013-05-24,27206.766300535728
1_11_2013-05-31,31148.079089474213
1_11_2013-06-07,34733.07678644842
1_11_2013-06-14,32595.159751055195
1_11_2013-06-21,33279.185699626614
1_11_2013-06-28,38517.634149047655
1_11_2013-07-05,31691.70483867064
1_11_2013-07-12,30204.264582261898
1_11_2013-07-19,29595.838892321422
1_11_2013-07-26,30644.755718809538
1_12_2012-11-02,9761.50132160715
1_12_2012-11-09,10485.162986071438
1_12_2012-11-16,9366.457560535717
1_12_2012-11-23,8792.145408065477
1_12_2012-11-30,8334.237289583329
1_12_2012-12-07,7637.95937184524
1_12_2012-12-14,7544.819577678571
1_12_2012-12-21,7723.9502773809545
1_12_2012-12-28,7496.184171666664
1_12_2013-01-04,7804.475533095237
1_12_2013-01-11,7487.242768095237
1_12_2013-01-18,7850.3630425
1_12_2013-01-25,8055.204661547619
1_12_2013-02-01,8708.665762648812
1_12_2013-02-08,8633.48995369047
1_12_2013-02-15,9747.145271130954
1_12_2013-02-22,10298.211045892858
1_12_2013-03-01,11570.256351666674
1_12_2013-03-08,12012.084772797618
1_12_2013-03-15,13354.797515158743
1_12_2013-03-22,12170.84331901155
1_12_2013-03-29,12100.916418465904
1_12_2013-04-05,11226.037104613093
1_12_2013-04-12,11383.374312589283
1_12_2013-04-19,12164.386680575399
1_12_2013-04-26,10887.506846785705
1_12_2013-05-03,12075.220339136904
1_12_2013-05-10,11206.134601607146
1_12_2013-05-17,12158.62714291667
1_12_2013-05-24,12195.488893422615
1_12_2013-05-31,12383.744397053575
1_12_2013-06-07,11526.99422035715
1_12_2013-06-14,11113.70616123016
1_12_2013-06-21,10357.79786877976
1_12_2013-06-28,11200.128333571422
1_12_2013-07-05,12030.52145639881
1_12_2013-07-12,10098.037502896826
1_12_2013-07-19,11604.920267321431
1_12_2013-07-26,11466.982866875005
1_13_2012-11-02,40512.08171029766
1_13_2012-11-09,38173.65778029764
1_13_2012-11-16,37695.877079464255
1_13_2012-11-23,38376.227284722234
1_13_2012-11-30,37334.85330988093
1_13_2012-12-07,35809.442729999995
1_13_2012-12-14,34487.07957095238
1_13_2012-12-21,35870.566645892875
1_13_2012-12-28,34739.15737794645
1_13_2013-01-04,39416.399387261896
1_13_2013-01-11,37350.63937059523
1_13_2013-01-18,36572.3300358929
1_13_2013-01-25,35899.10544994046
1_13_2013-02-01,40708.555351250005
1_13_2013-02-08,39101.50196494048
1_13_2013-02-15,38126.62878488095
1_13_2013-02-22,38408.36781574404
1_13_2013-03-01,41102.38746669644
1_13_2013-03-08,38481.3424880159
1_13_2013-03-15,37397.65434169642
1_13_2013-03-22,36765.85245815477
1_13_2013-03-29,37925.87679172615
1_13_2013-04-05,39643.248086488085
1_13_2013-04-12,37291.70612449403
1_13_2013-04-19,37075.09101515873
1_13_2013-04-26,36789.08887184524
1_13_2013-05-03,40705.510944861104
1_13_2013-05-10,37358.88222248017
1_13_2013-05-17,37206.20799732143
1_13_2013-05-24,37600.613351160704
1_13_2013-05-31,39070.8658543849
1_13_2013-06-07,39927.32829393852
1_13_2013-06-14,39311.397846458356
1_13_2013-06-21,38331.1744551786
1_13_2013-06-28,39428.458809881005
1_13_2013-07-05,40448.63979979165
1_13_2013-07-12,39253.79012211308
1_13_2013-07-19,39154.73206988094
1_13_2013-07-26,37158.19921940477
1_14_2012-11-02,13728.968325
1_14_2012-11-09,14490.504640773808
1_14_2012-11-16,17837.585197023807
1_14_2012-11-23,37541.32730315477
1_14_2012-11-30,26137.659934285723
1_14_2012-12-07,21176.97324666666
1_14_2012-12-14,28120.153882916664
1_14_2012-12-21,49307.96165255958
1_14_2012-12-28,22565.245595476194
1_14_2013-01-04,15211.920456249994
1_14_2013-01-11,14124.581366666656
1_14_2013-01-18,12995.762459999989
1_14_2013-01-25,12541.837736250005
1_14_2013-02-01,16215.095287123013
1_14_2013-02-08,17469.23290246212
1_14_2013-02-15,18446.62025587303
1_14_2013-02-22,16987.052589384923
1_14_2013-03-01,18048.953324067465
1_14_2013-03-08,15781.71324073413
1_14_2013-03-15,13416.431503511916
1_14_2013-03-22,13230.517664880956
1_14_2013-03-29,14015.129692886912
1_14_2013-04-05,14162.545221398801
1_14_2013-04-12,13174.526906140865
1_14_2013-04-19,13006.219540376977
1_14_2013-04-26,13439.743105873027
1_14_2013-05-03,15377.772222440468
1_14_2013-05-10,15245.60146672439
1_14_2013-05-17,13782.313591287882
1_14_2013-05-24,13128.888734325403
1_14_2013-05-31,13547.031798035723
1_14_2013-06-07,12877.896841369045
1_14_2013-06-14,13204.727742857145
1_14_2013-06-21,13288.209513809525
1_14_2013-06-28,15220.76594232144
1_14_2013-07-05,15000.948266279765
1_14_2013-07-12,13397.573492430549
1_14_2013-07-19,11977.572016607151
1_14_2013-07-26,11832.167451996762
1_16_2012-11-02,6433.372093154759
1_16_2012-11-09,6453.087478750009
1_16_2012-11-16,5318.351650833338
1_16_2012-11-23,8174.470216190475
1_16_2012-11-30,5887.219956250001
1_16_2012-12-07,5171.81223583333
1_16_2012-12-14,5136.871536428571
1_16_2012-12-21,7005.373842500003
1_16_2012-12-28,5438.3209700000025
1_16_2013-01-04,5778.168148035714
1_16_2013-01-11,5879.500514940473
1_16_2013-01-18,5828.037365773809
1_16_2013-01-25,6722.662113214284
1_16_2013-02-01,9496.327730049601
1_16_2013-02-08,11707.619770952382
1_16_2013-02-15,13785.167720535721
1_16_2013-02-22,18452.51959759561
1_16_2013-03-01,25043.791580238118
1_16_2013-03-08,28127.09175410714
1_16_2013-03-15,42605.371021815474
1_16_2013-03-22,40427.79572154765
1_16_2013-03-29,49550.39839407735
1_16_2013-04-05,53264.301393809525
1_16_2013-04-12,53932.307986269836
1_16_2013-04-19,47926.92601505952
1_16_2013-04-26,44750.175675952385
1_16_2013-05-03,44994.86129238097
1_16_2013-05-10,41544.76634752978
1_16_2013-05-17,38004.98643910714
1_16_2013-05-24,42105.76541729164
1_16_2013-05-31,43649.076906339265
1_16_2013-06-07,36189.8223132143
1_16_2013-06-14,35586.39787178571
1_16_2013-06-21,34205.37615351191
1_16_2013-06-28,35557.4700308333
1_16_2013-07-05,35912.42774755952
1_16_2013-07-12,25743.7482082738
1_16_2013-07-19,23249.89262089286
1_16_2013-07-26,21882.17629549605
1_17_2012-11-02,8417.52147047618
1_17_2012-11-09,8118.729204285713
1_17_2012-11-16,9414.455776071427
1_17_2012-11-23,12413.603027500001
1_17_2012-11-30,11146.984506517862
1_17_2012-12-07,11170.680527291672
1_17_2012-12-14,12607.568428750004
1_17_2012-12-21,18008.18245178572
1_17_2012-12-28,11265.075642976186
1_17_2013-01-04,8426.118904940478
1_17_2013-01-11,8773.117069761913
1_17_2013-01-18,8139.925537261903
1_17_2013-01-25,7682.3849436904775
1_17_2013-02-01,10421.744915357138
1_17_2013-02-08,11507.564923095231
1_17_2013-02-15,12399.68428467261
1_17_2013-02-22,10952.982645019838
1_17_2013-03-01,12015.669987559526
1_17_2013-03-08,11349.194574107143
1_17_2013-03-15,10029.468809761906
1_17_2013-03-22,8605.994109821428
1_17_2013-03-29,8679.663437202384
1_17_2013-04-05,8592.758814672621
1_17_2013-04-12,7708.473830714286
1_17_2013-04-19,8471.605783690477
1_17_2013-04-26,8201.603520297625
1_17_2013-05-03,9649.20351130952
1_17_2013-05-10,9501.565102946428
1_17_2013-05-17,8898.013003333335
1_17_2013-05-24,8123.704591726195
1_17_2013-05-31,7956.124375863098
1_17_2013-06-07,8957.3989756277
1_17_2013-06-14,8730.19870440476
1_17_2013-06-21,7853.198556160712
1_17_2013-06-28,8146.245657916667
1_17_2013-07-05,8244.99228910714
1_17_2013-07-12,7454.98621059524
1_17_2013-07-19,7927.533424007933
1_17_2013-07-26,8333.839481031746
1_18_2012-11-02,12935.521427499996
1_18_2012-11-09,10565.350331666663
1_18_2012-11-16,14008.255619583331
1_18_2012-11-23,33180.5048322024
1_18_2012-11-30,46865.16498083334
1_18_2012-12-07,44829.52682494047
1_18_2012-12-14,33824.07386291669
1_18_2012-12-21,24383.02101527779
1_18_2012-12-28,20394.461571249994
1_18_2013-01-04,6119.780765000002
1_18_2013-01-11,1397.34956375
1_18_2013-01-18,1619.342180357142
1_18_2013-01-25,1999.3664151785729
1_18_2013-02-01,4218.047573541666
1_18_2013-02-08,15475.56704812499
1_18_2013-02-15,22002.533410853182
1_18_2013-02-22,1137.2319164880953
1_18_2013-03-01,653.606011785714
1_18_2013-03-08,826.1030836706343
1_18_2013-03-15,1485.063850416667
1_18_2013-03-22,2264.486465684524
1_18_2013-03-29,5447.23515083333
1_18_2013-04-05,7460.0111052182565
1_18_2013-04-12,3421.523427053571
1_18_2013-04-19,4062.402070416666
1_18_2013-04-26,3721.692652499998
1_18_2013-05-03,368.87596342261895
1_18_2013-05-10,74.28021279761903
1_18_2013-05-17,5.8099467857142875
1_18_2013-05-24,1.6146066666666663
1_18_2013-06-07,1.9966177777777785
1_18_2013-07-05,1.2452854166666665
1_19_2012-11-02,1179.331096765873
1_19_2012-11-09,1341.2385787500004
1_19_2012-11-16,1258.1893258333334
1_19_2012-11-23,1065.8875522023807
1_19_2012-11-30,1429.0953708333332
1_19_2012-12-07,1625.5893250000004
1_19_2012-12-14,1571.4820854166671
1_19_2012-12-21,1607.6734111309527
1_19_2012-12-28,1077.0248108333335
1_19_2013-01-04,842.9590458333334
1_19_2013-01-11,889.1136641666667
1_19_2013-01-18,834.7008949999998
1_19_2013-01-25,868.0654166666661
1_19_2013-02-01,1458.8754629166665
1_19_2013-02-08,1312.3221807638884
1_19_2013-02-15,1323.7065327976188
1_19_2013-02-22,1565.8818678571433
1_19_2013-03-01,1388.5976918749998
1_19_2013-03-08,1578.9196932738093
1_19_2013-03-15,1529.6482510714284
1_19_2013-03-22,1493.7723709920633
1_19_2013-03-29,1216.6318665873025
1_19_2013-04-05,1481.2942625892856
1_19_2013-04-12,1092.5174142261906
1_19_2013-04-19,1337.8103137797625
1_19_2013-04-26,1076.3242551190478
1_19_2013-05-03,1295.9892777380956
1_19_2013-05-10,1412.674995089285
1_19_2013-05-17,1404.9850135714287
1_19_2013-05-24,1161.864111220238
1_19_2013-05-31,1142.6787426488095
1_19_2013-06-07,1151.8878655059523
1_19_2013-06-14,990.6056849900799
1_19_2013-06-21,1068.4166970238089
1_19_2013-06-28,1053.0246242261896
1_19_2013-07-05,1047.4955315476186
1_19_2013-07-12,1157.573143452381
1_19_2013-07-19,1076.567086845238
1_19_2013-07-26,1188.994981656746
1_20_2012-11-02,3023.7918808928553
1_20_2012-11-09,2963.983444047621
1_20_2012-11-16,2967.988226130953
1_20_2012-11-23,5146.523585208336
1_20_2012-11-30,3475.658424791669
1_20_2012-12-07,3008.839325000001
1_20_2012-12-14,3492.8658187499996
1_20_2012-12-21,4580.532009404762
1_20_2012-12-28,3951.364724166671
1_20_2013-01-04,3332.273711488093
1_20_2013-01-11,3570.0639283333326
1_20_2013-01-18,3375.683917321428
1_20_2013-01-25,3292.244397083333
1_20_2013-02-01,4143.265029672617
1_20_2013-02-08,4332.5198436904775
1_20_2013-02-15,4754.189561071429
1_20_2013-02-22,4269.570947499999
1_20_2013-03-01,4866.461429719515
1_20_2013-03-08,5865.034142738093
1_20_2013-03-15,4680.898384494046
1_20_2013-03-22,4045.052666329365
1_20_2013-03-29,4481.128727142853
1_20_2013-04-05,3361.7588675595225
1_20_2013-04-12,3200.8391833928567
1_20_2013-04-19,3563.361987916667
1_20_2013-04-26,3878.781252936507
1_20_2013-05-03,4232.634850773811
1_20_2013-05-10,4237.467569761906
1_20_2013-05-17,4425.997037619052
1_20_2013-05-24,4907.632070297621
1_20_2013-05-31,5211.801390922618
1_20_2013-06-07,5155.96132113095
1_20_2013-06-14,4772.823578680554
1_20_2013-06-21,4730.987384523813
1_20_2013-06-28,4944.272945178571
1_20_2013-07-05,5190.053790327381
1_20_2013-07-12,4305.4893
1_20_2013-07-19,4431.084171428569
